Module;Level;Count;Requirement
Air Filtering Unit;1;5;Gas mask air filter
Air Filtering Unit;1;25,000;Dollars
Air Filtering Unit;1;5;Military power filter
Air Filtering Unit;1;3;Military corrugated tube
Bitcoin Farm;1;5;T-Shaped plug
Bitcoin Farm;1;1;VPX Flash Storage Module
Bitcoin Farm;1;10;Power cord
Bitcoin Farm;1;10;Power supply unit
Bitcoin Farm;1;15;CPU fan
Bitcoin Farm;2;15;CPU fan
Bitcoin Farm;2;10;Power supply unit
Bitcoin Farm;2;15;Printed circuit board
Bitcoin Farm;2;5;Phase control relay
Bitcoin Farm;2;2;Military power filter
Bitcoin Farm;3;25;CPU fan
Bitcoin Farm;3;15;Silicone tube
Bitcoin Farm;3;10;Electric motor
Bitcoin Farm;3;10;Pressure gauge
Bitcoin Farm;3;1;6-STEN-140-M military battery
Booze Generator;1;2;Metal spare parts
Booze Generator;1;2;Pressure gauge
Booze Generator;1;3;Radiator helix
Booze Generator;1;4;Silicone tube
Booze Generator;1;1;Pipe grip wrench
Booze Generator;1;2;Analog thermometer
Booze Generator;1;5;Corrugated hose
Defective Wall;2;1;Fleece fabric
Defective Wall;3;1;Fleece fabric
Defective Wall;4;1;Fierce Blow sledgehammer
Defective Wall;4;1;Fleece fabric
Defective Wall;5;1;Metal cutting scissors
Defective Wall;5;1;Toolset
Defective Wall;5;1;Fleece fabric
Defective Wall;6;2;Corrugated hose
Defective Wall;6;1;Duct tape
Defective Wall;6;1;Toolset
Defective Wall;6;1;Pliers Elite
Defective Wall;6;5;Metal spare parts
Defective Wall;6;1;Xenomorph sealing foam
Defective Wall;6;2;Bundle of wires
Defective Wall;6;2;Light bulb
Generator;1;1;Spark plug
Generator;1;100,000;Roubles
Generator;2;1;Bulbex cable cutter
Generator;2;5;Phase control relay
Generator;2;1;Electric motor
Generator;2;15;Bundle of wires
Generator;3;5;Power supply unit
Generator;3;6;Phase control relay
Generator;3;3;Electric motor
Generator;3;10;Spark plug
Generator;3;7;Metal spare parts
Heating;1;25,000;Roubles
Heating;1;2;Classic matches
Heating;2;3;Dry fuel
Heating;2;50,000;Roubles
Heating;2;2;Hunting matches
Heating;2;3;Crickent lighter
Heating;3;8;Radiator helix
Heating;3;8;Bundle of wires
Heating;3;4;Phase control relay
Heating;3;2;Military corrugated tube
Gym;1;1;Toolset
Gym;1;1;Electric drill
Gym;1;1;Metal cutting scissors
Gym;1;3;Screw nuts
Gym;1;3;Bolts
Gym;1;1;WD-40 (100ml)
Gym;1;1;Insulating tape
Hall of Fame;1;2;Insulating tape
Hall of Fame;1;5;Pack of nails
Hall of Fame;1;5;Light bulb
Hall of Fame;1;1;Cat figurine
Hall of Fame;1;5;Fleece fabric
Hall of Fame;1;1;Round pliers
Hall of Fame;2;1;Tech manual
Hall of Fame;2;1;Pliers Elite
Hall of Fame;2;1;Toolset
Hall of Fame;2;1;Golden rooster figurine
Hall of Fame;2;10;Energy-saving lamp
Hall of Fame;2;6;Pack of screws
Hall of Fame;2;3;Duct tape
Hall of Fame;2;2;Xenomorph sealing foam
Hall of Fame;2;2;Ortodontox toothpaste
Hall of Fame;3;1;Set of files 'Master'
Hall of Fame;3;1;Electric drill
Hall of Fame;3;1;Bronze lion figurine
Hall of Fame;3;15;Energy-saving lamp
Hall of Fame;3;3;KEKTAPE duct tape
Hall of Fame;3;3;T-Shaped plug
Hall of Fame;3;15;Metal spare parts
Hall of Fame;3;5;Power cord
Illumination;1;10,000;Roubles
Illumination;1;1;Crickent lighter
Illumination;2;14;Light bulb
Illumination;2;10;Bundle of wires
Illumination;3;50,000;Roubles
Illumination;3;7;Capacitors
Illumination;3;12;Energy-saving lamp
Illumination;3;6;Bundle of wires
Intelligence Center;1;1;Factory plan map
Intelligence Center;1;1;Intelligence folder
Intelligence Center;1;1;Topographic survey map
Intelligence Center;2;3;Intelligence folder
Intelligence Center;2;3;Secure Flash drive
Intelligence Center;2;7;Power cord
Intelligence Center;2;4;Damaged hard drive
Intelligence Center;3;5;Military cable
Intelligence Center;3;2;Military COFDM Wireless Signal Transmitter
Intelligence Center;3;1;Far-forward GPS Signal Amplifier Unit
